Road Kings|WMS|1986
Road Show|WMS|1994
Robocop|Data East|1989
Robot|Zaccaria|1984
Rocky|Gottlieb|1982
Rocky & Bullwinkle|Data East|1993
Ro Go|Bally|1973
Roller Coaster Tycoon|Stern|2002
Roller Disco|Gottlieb|1980
Rollergames|WMS|1990
Rolling Stones|Stern|2011
Safari|Bally|1968
Safecracker|Bally|1996
Satin Doll|WMS|1975
Scared Stiff|Bally|1996
Scorpion|WMS|1980
Scuba|Gottlieb|1970
Shaq Attaq|Gottlieb|1994
Sharpshooter|Game Plan|1978
Shindig|Gottlieb|1953
Shrek|Stern|2008
Silverball Mania|Bally|1980
Simpsons Pinball Party|Stern|2003
Skateball|Bally|1980
Slick Chick|Gottlieb|1963
Slugfest|WMS|1991
Snow Derby|Gottlieb|1970
Soccer|Gottlieb|1975
Soccer Kings|Zaccaria|1982
Solar Fire|WMS|1981
Solar Ride|Gottlieb|1979
Sorcerer|WMS|1985
Sound Stage|Chicago Coin|1976
South Park|Sega|1999
Space Invaders|Bally|1980
Space Odyssey|WMS|1976
Space Race|Recel|1977
Space Shuttle|WMS|1984
Space Station|WMS|1987
Spanish Eyes|WMS|1972
Speakeasy (2 Player)|Bally|1982
Spectrum|Bally|1982
Spiderman|Gottlieb|1980
Spiderman|Stern|2007
Split Second|Stern|1981
Spy Hunter|Bally|1984
Star Battle|Coffee-Mat|1978
Star Pool|WMS|1975
Star Race|Gottlieb|1980
Star Trek T.O.S.|Data East|1991
Star Trek|Stern|2013
Star Wars - Episode 1|Bally|1999
Star Wars Trilogy|Sega|1997
Stargate|Gottlieb|1994
Stars|Stern|1978
Starship Troopers|Sega|1997
Stellar Wars|WMS|1979
Stingray|Stern|1977
Straight Flush|Gottlieb|1957
Straight Shooter|Gottlieb|1959
Strange Science|Bally|1986
Strato-Flight|WMS|1974
STTNG|WMS|1993
Super Orbit|Gottlieb|1983
Super Score|Gottlieb|1967
Super Soccer|Gottlieb|1975
Super Straight|Sonic|1977
Supersonic|Bally|1979
Surfer|Gottlieb|1976
Surf'n Safari|Gottlieb|1991
Swinger|WMS|1973
Swords of Fury|WMS|1988
Tales / Arabian Nights|WMS|1996
Tales from the Crypt|Data East|1993
Target Alpha|Gottlieb|1976
Target Pool|Gottlieb|1969
Taxi|WMS|1988
Terminator 2|WMS|1991
Terminator 3|Stern|2003
The Flintstones|WMS|1994
The Machine BOP|WMS|1991
The Shadow|Bally|1994
The Sopranos|Stern|2005
Theatre of Magic|Bally|1995
Time 2000|Atari|1977
Time Fantasy|WMS|1982
Time Line|Gottlieb|1980
Time Machine|Zaccaria|1983
Time Machine|Data East|1988
Title Fight|Gottlieb|1990
Tommy|Data East|1994
Transformers|Stern|2011
Transporter the Rescue|Bally|1989
Tri Zone (Simon)|WMS|1979
Triple Action|WMS|1974
TRON Legacy|Stern|2011
Twilight Zone|Bally|1993
TX-Sector|Gottlieb|1987
Universe|Gottlieb|1959
Varkon|WMS|1982
Vegas|Gottlieb|1990
Volcano|Gottlieb|1981
Volley|Gottlieb|1976
Walking Dead|Stern|2014
Wheel of Fortune|Stern|2008
Whirlwind|WMS|1989
Whitewater|WMS|1992
Whodunnit|Bally|1995
Wild Fyre|Stern|1978
Wizard!|Bally|1975
Wizard of Oz|Jersey J|2012
World Cup|WMS|1978
World Cup Soccer|Bally|1994
World Poker Tour|Stern|2006
World Tour|Alvin G.|1992
X-Men LE|Stern|2012
Xenon|Bally|1980
X's & O's|Bally|1984
Yanks|WMS|1948
Yukon|WMS|1971
Zig Zag|WMS|1964
